Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue
4428	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1085	nan	2	1119.607020	4	24203.248877	24188.172501	7.65631e+06	30	38	116	0.884845	0.806888	0.741181	69.3229	26.7156	7.39679	32	757.116923	757.472633	0.442655	0.442655	1
4429	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1085	nan	2	1119.607020	4	27134.698946	27117.761285	8.29002e+06	29	42	138	0.894686	0.836416	0.702067	115.58	35.2734	6.73172	31	876.053741	876.447282	0.489101	0.489101	1
4430	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1085	nan	2	1119.607020	4	28852.491131	28834.491058	1.20299e+07	29	47	195	0.868933	0.76861	0.718871	83.4527	22.6035	5.78813	44	656.525768	656.828953	0.434001	0.434001	1
4431	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1085	nan	1	1119.607020	4	31678.669262	31658.865648	1.8403e+07	33	48	238	0.933182	0.877088	0.702274	152.044	54.6685	8.09818	47	674.912503	675.311713	0.562893	0.562893	1
4432	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1087	nan	2	1120.839000	2	22659.021093	22644.842082	5.73118e+06	27	38	128	0.900756	0.779682	0.713905	61.7582	21.5085	8.27953	28	809.968013	810.252254	0.478294	0.478294	1
4433	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1087	nan	2	1120.839000	2	30004.618340	29985.919719	4.3438e+06	40	46	93	0.889955	0.783177	0.881719	65.5964	25.2477	5.93046	45	667.557389	667.737334	0.449737	0.449737	1
4434	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1088	nan	2	1121.456880	3	28897.597696	28879.570245	1.21947e+07	29	42	170	0.928009	0.771066	0.710457	118.85	22.9755	4.98703	34	850.630701	850.891898	0.583892	0.583892	1
4435	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1088	nan	2	1121.456880	3	32075.025450	32054.998518	7.93786e+06	36	50	181	0.893957	0.726476	0.818605	87.621	18.4237	5.71952	45	713.502149	713.863738	0.499501	0.499501	1
4436	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1088	nan	2	1121.456880	3	33179.028801	33158.358211	7.11567e+06	39	52	132	0.919436	0.821532	0.747016	116.02	34.858	5.32289	39	851.525375	851.737478	0.539350	0.539350	1
4437	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1089	nan	2	1122.101100	2	25814.402135	25798.264708	6.75213e+06	32	41	140	0.911305	0.841667	0.805962	85.432	36.058	7.33651	32	807.308521	807.678420	0.496163	0.496163	1
4438	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1089	nan	3	1122.101100	2	30258.338709	30239.490654	4.51568e+06	34	43	85	0.863282	0.639814	0.815775	33.1541	11.0689	8.25473	43	704.427497	704.977414	0.382479	0.382479	1
4439	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1090	nan	2	1122.717360	1	29043.235385	29025.121518	2.94029e+07	22	44	277	0.938664	0.855579	0.705787	300.04	42.8833	5.79771	39	745.420822	745.768321	0.645255	0.645255	1
